,TARGET_MONTHLY_INCOME
0,51996
1,58303
2,49510
3,52031
4,57515
5,29575
6,44132
7,75630
8,39607
9,45751
10,6977
11,80262
12,57461
13,52907
14,46239
15,11747
16,30175
17,44093
18,54186
19,43830
20,15462
21,35789
22,32289
23,21186
24,54992
25,15036
26,59620
27,58268
28,12134
29,56576
30,48223
31,49233
32,45738
33,61219
34,46703
35,27206
36,67501
37,57652
38,39653
39,43320
40,48587
41,13542
42,57847
43,19890
44,26704
45,68960
46,25533
47,16610
48,36343
49,24839
50,39675
51,70407
52,41893
53,55595
54,50692
55,57867
56,59666
57,55665
58,67967
59,32817
60,50864
61,43895
62,48346
63,18729
64,48937
65,35178
66,50047
67,52204
68,58018
69,52130
70,18179
71,59925
72,29574
73,4260
74,61783
75,56567
76,51807
77,70618
78,53854
79,53185
80,35028
81,54682
82,71035
83,35166
84,46584
85,34039
86,84189
87,51065
88,50755
89,69011
90,49613
91,64756
92,30305
93,38299
94,47414
95,49310
96,68126
97,76266
98,30450
99,52981
100,44607
101,71594
102,61612
103,30896
104,28268
105,19366
106,40759
107,71832
108,69595
109,73559
110,23127
111,44501
112,35981
113,47600
114,56801
115,48119
116,59403
117,60348
118,48210
119,50535
120,68640
121,50234
122,39656
123,15286
124,38902
125,48316
126,38458
127,81280
128,70979
129,66652
130,72406
131,27811
132,40910
133,60309
134,75509
135,18063
136,55961
137,16652
138,60135
139,33300
140,33607
141,34348
142,51779
143,20928
144,69229
145,25749
146,74867
147,34434
148,28099
149,73546
150,55346
151,72182
152,18340
153,32957
154,37683
155,47254
156,5052
157,66090
158,43756
159,54304
160,76741
161,59119
162,27098
163,40422
164,51485
165,76715
166,60761
167,9109
168,64317
169,37288
170,41946
171,22914
172,3817
173,69150
174,65097
175,21899
176,35615
177,49894
178,47640
179,45318
180,52516
181,24540
182,50036
183,16740
184,11110
185,48075
186,72523
187,54712
188,32847
189,52285
190,59346
191,36029
192,45835
193,35052
194,38230
195,58031
196,70339
197,63022
198,46938
199,32349
200,40495
201,56284
202,5037
203,52778
204,49211
205,33594
206,15314
207,14875
208,28128
209,20173
210,52307
211,12267
212,39232
213,64538
214,55957
215,40934
216,9656
217,25519
218,18028
219,59288
220,42549
221,61174
222,47787
223,37247
224,64522
225,11877
226,17193
227,17994
228,19997
229,34302
230,51340
231,17850
232,20877
233,13050
234,69676
235,53522
236,55916
237,67380
238,43929
239,37821
240,79347
241,22713
242,51949
243,55985
244,44030
245,19688
246,56135
247,31920
248,67703
249,39422
250,41144
251,23623
252,16470
253,38625
254,65782
255,49795
256,40110
257,63137
258,34406
259,50647
260,27513
261,78952
262,62301
263,28617
264,43089
265,15574
266,59347
267,35594
268,36507
269,34253
270,19180
271,30440
272,34528
273,54899
274,15415
275,28882
276,40749
277,33338
278,43760
279,24091
280,34539
281,36928
282,81304
283,20991
284,49080
285,20979
286,50527
287,60703
288,20971
289,41909
290,3940
291,75206
292,26192
293,22314
294,69782
295,64849
296,76990
297,54253
298,29674
299,35685
300,48690
301,41893
302,52848
303,42174
304,44924
305,47333
306,18737
307,10421
308,22858
309,61592
310,31807
311,43525
312,21763
313,59774
314,40804
315,45759
316,43245
317,70975
318,70390
319,55879
320,62801
321,26719
322,37486
323,32051
324,70287
325,40383
326,47553
327,48752
328,42037
329,45262
330,56700
331,78286
332,69492
333,38578
